X;PMPT;PNBDT;PTDIT3
El Prado;216;52,4;1.559
La Florida;73;23,2;2.332
Llapa;425;40,2;6.000
Nanchoc;296;40,9;1.530
Niepos;205;49,8;4.241
San Gregorio;333;42,2;2.392
San Silvestre De Cochán;505;43,3;4.609
Tongod;21;62,6;4.826
Unión Agua Blanca;106;61,4;3.695
San Pablo;180;30,0;13.787
San Bernardino;251;32,4;4.890
San Luis;316;22,1;1.335
Tumbadén;157;43,8;3.686
Santa Cruz;658;35,1;11.922
Andabamba;81;68,6;1.615
Catache;158;67,4;10.090
Chancaybaños;97;57,6;3.989
La Esperanza;222;49,7;2.727
Ninabamba;140;92,1;2.907
Pulán;107;46,5;4.683
Saucepampa;32;55,7;1.950
Sexi;562;63,4;564
Uticyacu;90;94,4;1.660
Yauyucán;370;62,9;3.624
Callao;807;9,1;414.249
Callao;1478;9,1;414.249
Callao;1846;9,1;414.249
Carmen De La Legua Reynoso;1741;10,6;41.756
Ventanilla;961;22,5;389.440
Ventanilla;1379;22,5;389.440
Ventanilla;1886;22,5;389.440
Acobambilla;1025;36,9;4.468
Cuenca;302;58,3;2.052
Izcuchaca;1526;46,9;911
Palca;792;50,1;3.312
Pilchaca;514;32,9;543
Yauli;890;57,7;32.221
Ascensión;1507;39,9;11.634
Acobamba;968;31,9;10.098
Anta;330;33,2;9.173
Marcas;503;21,4;2.402
Pomacocha;986;23,3;4.059
Lircay;808;45,9;25.096
Anchonga;437;28,7;7.962
Chincho;740;44,9;2.732
Congalla;278;44,8;4.245
Huayllay Grande;704;36,6;2.159
San Antonio De Antaparco;1001;22,6;6.083
Santo Tomás De Pata;530;51,1;2.417
Secclla;413;36,5;3.708
Castrovirreyna;1008;41,1;3.317
Arma;927;56,1;1.465
Aurahua;987;50,3;2.227
Capillas;800;72,6;1.446
Chupamarca;736;26,0;1.196
Cocas;712;72,9;929
Huachos;506;62,0;1.715
Huamatambo;826;46,8;405
Mollepampa;518;64,8;1.643
San Juan;937;54,7;511
Santa Ana;947;70,6;2.125
Tantara;828;34,2;742
Ticrapo;1362;40,8;1.675
Anco;269;48,4;6.617
Locroja;294;43,7;4.185
Paucarbamba;386;63,1;7.344
San Miguel De Mayocc;1253;30,5;1.241
Pachamarca;188;62,2;2.920
Huaytará;1685;30,0;2.159
Ayavi;862;76,4;671
Córdova;997;83,2;2.646
Huayacundo Arma;1009;36,8;471
Laramarca;843;90,1;906
Ocoyo;558;84,5;2.310
Pilpichaca;397;70,4;3.740
Querco;860;83,6;970
Quito-Arma;29;80,2;809
San Antonio De Cusicancha;139;65,8;1.671
San Francisco De Sangayaico;970;77,9;642
San Isidro;520;83,7;1.165
Santiago De Chocorvos;412;75,7;3.035
Santiago De Quirahuara;633;81,2;673
Santo Domingo De Capillas;734;73,0;1.018
Tambo;774;40,1;368
San Marcos De Rocchac;434;29,6;2.988
Surcubamba;455;69,0;4.999
Tintay Puncu;453;71,9;11.761
Andaymarca;351;45,3;2.014
Ica;1915;14,2;130.395
La Tinguiña;1864;21,6;34.580
Los Aquijes;1787;26,0;18.570
Ocucaje;1888;51,7;3.739
Parcona;1889;20,3;53.938
Yauca Del Rosario;1580;55,7;1.025
Alto Larán;1843;28,8;7.109
Chincha Baja;1905;29,1;12.369
El Carmen;1834;29,0;12.951
Grocio Prado;1707;35,8;23.253
Pueblo Nuevo;1819;33,4;58.993
San Juan De Yánac;1751;94,7;352
San Pedro De Huacarpana;1877;85,4;1.648
Sunampe;1838;34,7;26.701
Tambo De Mora;1881;32,9;4.951
Nasca;1858;23,0;26.703
Changuillo;1931;29,7;1.647
El Ingenio;1900;30,7;2.780
Palpa;1920;19,2;7.250
Llipata;1892;32,6;1.491
Río Grande;1895;31,6;2.401
Santa Cruz;1908;28,8;1.013
Huancano;1043;34,2;1.644
Humay;1705;46,0;5.799
Rio Tambo;1112;90,5;51.127
Trujillo;1238;5,7;316.717
Trujillo;1739;5,7;316.717
Trujillo;1913;5,7;316.717
El Porvenir;859;15,3;175.373
El Porvenir;1443;15,3;175.373
El Porvenir;1766;15,3;175.373
Florencia De Mora;1337;10,1;41.968
Huanchaco;1450;12,2;61.923
La Esperanza;951;12,8;176.293
La Esperanza;1484;12,8;176.293
La Esperanza;1725;12,8;176.293
Laredo;1505;13,5;35.095
Moche;1394;14,9;33.634
Poroto;821;24,0;3.341
Salaverry;1000;18,2;17.142
Simbal;705;28,2;4.313
Victor Larco Herrera;1910;6,1;62.589
Ascope;1143;17,0;6.849
Chicama;1272;20,9;15.572
Chocope;1546;25,4;9.720
Magdalena De Cao;1638;16,4;3.178
Paiján;1178;19,7;25.263
Rázuri;1409;28,2;8.992
Santiago De Cao;1547;13,7;19.929
Casa Grande;1639;17,3;31.221
Bolívar;512;42,8;4.877
Bambamarca;10;59,7;3.829
Condormarca;2;47,9;2.130
Longotea;169;28,1;2.279
Uchumarca;563;33,9;2.828
Ucuncha;12;52,6;858
Chepén;1333;18,1;48.420
Pacanga;818;14,0;22.312
Pueblo Nuevo;1163;18,9;14.306
Julcán;64;36,4;12.158
Calamarca;23;42,8;5.930
Carabamba;209;34,0;6.752
Huaso;5;63,7;7.126
Otuzco;731;37,8;27.060
Agallpampa;147;35,1;9.969
Charat;327;49,0;2.946
Huaranchal;102;45,1;5.145
La Cuesta;114;28,5;701
Mache;289;24,3;3.173
Paranday;91;22,9;728
Salpo;172;32,0;6.296
Sinsicap;261;56,1;8.636
Usquil;451;47,2;27.431
San Pedro De Lloc;1472;17,4;16.630
Guadalupe;1307;13,7;42.651
Jequetepeque;1144;11,0;3.760
Pacasmayo;1456;13,2;27.427
San José;723;26,1;12.185
Tayabamba;404;56,6;14.573
Buldibuyo;342;43,3;3.834
Chillia;265;58,2;13.213
Huancaspata;41;48,0;6.467
Huaylillas;264;40,6;3.208
Huayo;78;45,5;4.369
Ongón;318;63,5;1.768
Parcoy;531;83,5;20.553
Pataz;647;60,1;8.537
Pias;60;54,8;1.386
Santiago De Challas;33;42,4;2.635
Taurija;9;25,3;3.044
Urpay;77;52,7;2.897
Huamachuco;1146;44,1;60.415
Chugay;233;51,5;18.575
Cochorco;104;48,4;9.299
Curgos;1;45,6;8.541
Marcabal;394;58,3;16.387
Sanagoran;26;75,5;14.526
Sarín;101;54,2;9.855
Sartimbamba;195;65,6;13.580
Santiago De Chuco;581;47,2;20.502
Angasmarca;550;43,8;7.021
Cachicadan;179;49,6;7.704
Mollebamba;286;37,6;2.242
Mollepata;322;49,7;2.722
Quiruvilca;710;48,2;14.420
Santa Cruz De Chuca;145;36,7;3.238
Sitabamba;18;39,2;3.544
Cascas;832;29,1;14.375
Lucma;100;44,8;6.676
Compin (Marmot);266;54,9;2.227
Sayapullo;83;58,6;8.034
Virú;1338;17,8;62.333
Chao;935;24,0;35.237
Guadalupito;1309;24,2;8.684
Chiclayo;1055;10,9;288.063
Chiclayo;1569;10,9;288.063
Chiclayo;1850;10,9;288.063
Chongoyape;1469;24,3;18.128
Etén;1297;19,7;10.772
Etén Puerto;1767;4,7;2.220
José Leonardo Ortiz;1067;15,3;187.530
José Leonardo Ortiz;1480;15,3;187.530
José Leonardo Ortiz;1798;15,3;187.530
La Victoria;1676;12,0;88.440
Lagunas;1414;24,2;10.160
Monsefú;1188;19,1;31.904
Nueva Arica;1713;21,1;2.397
Oyotún;1430;26,5;10.042
Picsi;1375;22,1;9.710
Pimentel;1674;14,9;41.487
Reque;1581;10,8;14.530
Santa Rosa;1111;30,8;12.413
Saña;1400;29,2;12.417
Cayaltí;1494;20,9;16.383
Patapo;1411;19,7;22.392
Pomalca;1625;23,6;25.128
Pucala;1703;17,0;9.203
Tumán;1719;13,2;30.126
Ferreñafe;1280;16,9;35.157
Cañaris;7;74,2;14.348
Incahuasi;65;50,2;15.498
Manuel Antonio Mesones Muro;1316;18,2;4.282
Pitipo;1270;20,5;22.815
Pueblo Nuevo;1048;22,6;13.331
Lambayeque;1584;15,5;74.576
Chochope;995;33,0;1.182
Illimo;1361;21,0;9.421
Jayanca;1291;20,4;17.117
Mochumi;1343;17,8;19.172
Mórrope;994;42,5;44.874
Motupe;1142;27,5;26.185
Olmos;1301;45,8;40.196
Pacora;1106;22,0;7.199
Salas;298;46,7;13.213
San José;1355;41,5;15.237
Túcume;1281;22,8;22.634
Lima;1628;9,8;281.861
Lima;1774;9,8;281.861
Lima;1928;9,8;281.861
Ate;1441;17,9;592.344
Ate;1720;17,9;592.344
Ate;1865;17,9;592.344
Carabayllo;1315;19,8;278.963
Carabayllo;1598;19,8;278.963
Carabayllo;1873;19,8;278.963
Cieneguilla;1500;23,8;41.060
Comas;1257;12,5;520.403
Comas;1582;12,5;520.403
Comas;1778;12,5;520.403
El Agustino;1265;13,3;190.474
El Agustino;1588;13,3;190.474
El Agustino;1781;13,3;190.474
Los Olivos;1649;6,5;360.532
Los Olivos;1845;6,5;360.532
Los Olivos;1926;6,5;360.532
Lurín;1431;19,3;79.563
Pachacámac;1479;26,5;111.037
Pucusana;1334;29,1;15.240
Puente Piedra;1235;24,3;320.837
Puente Piedra;1504;24,3;320.837
Puente Piedra;1759;24,3;320.837
Punta Hermosa;1390;18,7;7.155
Rímac;1180;12,9;169.617
Rímac;1563;12,9;169.617
Rímac;1832;12,9;169.617
San Juan De Lurigancho;1089;18,0;1.047.726
